No.;Ticker;Market Cap;P/E;Fwd P/E;PEG;P/S;P/B;P/C;P/FCF;EPS this Y;EPS next Y;EPS past 5Y;EPS next 5Y;Sales past 5Y;Price;Change;Volume
4096;LOCO;492.13M;245.10;16.36;16.34;1.19;1.72;37.57;28.28;-60.90%;7.91%;23.20%;15.00%;6.50%;12.30;-1.60%;80,979
4097;LODE;9.42M;-;-;-;94.18;0.75;6.28;-;29.90%;-;43.20%;-;-54.10%;0.15;-1.46%;1,092,591
4098;LOGI;7.87B;34.13;22.04;2.68;2.98;7.07;-;24.53;9.60%;13.23%;24.10%;12.73%;4.10%;45.57;1.09%;120,604
4099;LOGM;4.50B;90.55;14.95;5.92;3.98;1.47;-;16.53;168.30%;11.13%;14.00%;15.30%;48.10%;87.20;0.52%;314,777
4100;LOMA;1.09B;17.41;11.01;5.92;1.65;6.14;-;-;66.70%;38.30%;-;2.94%;-;9.22;0.88%;477,679
4101;LONE;210.61M;-;12.67;-;1.47;1.17;38.29;-;81.10%;80.90%;-21.70%;-;53.40%;8.65;1.41%;134,304
4102;LOOP;287.55M;-;-;-;-;39.79;53.25;-;-225.10%;-;-;-;-;9.77;2.30%;48,800
4103;LOPE;5.33B;24.69;21.56;1.40;5.23;4.78;17.88;63.68;26.70%;5.08%;21.10%;17.60%;13.80%;111.23;0.61%;115,592
4104;LOR;-;-;-;-;-;-;-;-;-;-;-;-;-;10.42;-0.33%;19,138
4105;LORL;918.22M;13.15;-;-;-;4.83;3.67;-;252.50%;-;10.70%;-;-;44.53;1.54%;18,318
4106;LOV;3.83B;-;1.51;-;38.01;166.43;285.95;-;-521.30%;84.25%;-;-;-;11.50;-1.29%;2,771
4107;LOVE;297.31M;-;125.49;-;2.41;3.07;6.17;-;20.00%;148.80%;-;37.50%;-;24.64;0.68%;20,216
4108;LOW;92.85B;24.01;19.17;1.59;1.32;16.18;40.94;28.79;18.40%;15.54%;19.50%;15.06%;6.30%;115.52;0.44%;1,724,357
4109;LOWC;-;-;-;-;-;-;-;-;-;-;-;-;-;92.47;-0.11%;32
4110;LOXO;4.97B;-;-;-;48.58;12.55;7.41;21.64;-53.30%;-138.60%;-;-;-;163.45;0.21%;96,434
4111;LPCN;31.25M;-;-;-;78.11;2.29;1.55;-;62.60%;25.00%;29.80%;-;-;1.45;-2.68%;55,333
4112;LPG;437.52M;-;-;-;3.00;0.45;6.70;12.72;-66.10%;69.90%;-34.70%;15.00%;32.70%;7.92;1.41%;45,759
4113;LPI;2.04B;3.89;6.35;0.13;1.93;2.12;55.77;-;297.70%;26.95%;36.50%;29.07%;7.10%;8.85;0.74%;1,447,022
4114;LPL;6.09B;56.08;26.90;5.97;0.27;0.49;2.17;-;98.80%;168.10%;50.50%;9.40%;-1.10%;8.60;0.23%;196,290
4115;LPLA;5.75B;18.42;10.62;0.45;1.22;5.77;4.15;-;17.10%;19.99%;12.80%;40.71%;3.20%;66.28;1.83%;231,480
4116;LPNT;2.50B;104.20;13.77;11.67;0.40;1.11;17.37;49.37;-26.70%;0.99%;-8.00%;8.93%;13.20%;64.50;0.00%;126,980
4117;LPSN;1.66B;-;143.85;-;7.11;9.43;23.76;-;20.40%;58.41%;-39.60%;27.50%;6.80%;26.20;1.75%;68,000
4118;LPT;6.25B;27.88;29.56;5.58;8.68;1.98;258.34;-;-24.00%;-25.90%;19.40%;5.00%;5.10%;42.38;0.62%;240,631
4119;LPTH;51.52M;59.12;14.89;-;1.59;1.47;9.37;515.16;-89.90%;114.29%;16.60%;-;22.50%;2.03;1.15%;194,066
4120;LPTX;104.09M;-;-;-;-;8.18;3.41;-;-65.20%;23.90%;-;-2.49%;-;6.87;1.18%;48,780
4121;LPX;4.06B;8.56;10.04;1.71;1.39;2.30;4.06;11.54;146.10%;-10.06%;65.20%;5.00%;10.10%;27.84;-0.93%;843,989
4122;LQD;-;-;-;-;-;-;-;-;-;-;-;-;-;114.24;-0.18%;1,838,009
4123;LQDA;300.59M;-;-;-;53.68;-;32.67;-;-83.00%;56.70%;-;-;-;23.03;12.01%;41,872
4124;LQDH;-;-;-;-;-;-;-;-;-;-;-;-;-;96.77;-0.14%;18,065
4125;LQDT;192.78M;-;-;-;0.83;1.54;2.06;-;36.20%;60.40%;-23.30%;-;-10.70%;6.32;5.42%;74,318
4126;LRAD;99.84M;71.90;33.56;4.79;3.27;2.82;6.36;332.80;31.40%;325.00%;-21.30%;15.00%;6.50%;3.00;-0.66%;6,328
4127;LRCX;24.32B;9.07;8.57;0.42;2.20;3.83;4.91;11.72;78.20%;15.55%;90.50%;21.40%;25.20%;151.17;-2.31%;1,564,565
4128;LRET;-;-;-;-;-;-;-;-;-;-;-;-;-;24.48;0.82%;2
4129;LRGE;-;-;-;-;-;-;-;-;-;-;-;-;-;33.85;0.00%;120
4130;LRGF;-;-;-;-;-;-;-;-;-;-;-;-;-;33.92;-0.12%;34,555
4131;LRN;700.17M;26.17;25.90;1.74;0.76;1.17;3.03;11.59;-11.80%;13.33%;0.30%;15.00%;1.60%;17.80;1.08%;60,776
4132;LSBK;103.10M;28.31;-;-;5.08;1.32;2.31;27.87;1.90%;-;-1.30%;-;-0.20%;17.28;1.23%;3
4133;LSCC;978.59M;-;15.26;-;2.52;4.17;9.25;36.65;-27.60%;41.34%;-17.90%;20.00%;6.70%;7.68;-0.45%;762,819
4134;LSI;4.43B;34.04;28.01;6.81;8.21;2.19;606.89;100.01;5.60%;4.14%;5.10%;5.00%;17.70%;95.85;0.88%;52,027
4135;LSST;-;-;-;-;-;-;-;-;-;-;-;-;-;24.80;0.24%;224
4136;LSTR;5.07B;27.31;18.63;1.39;1.20;7.65;26.85;67.44;15.30%;7.25%;6.80%;19.69%;5.60%;121.45;0.08%;129,004
4137;LSXMA;22.99B;11.29;15.98;-;4.11;1.27;132.11;14.23;171.40%;18.74%;-;-10.10%;-;42.19;0.92%;753,771
4138;LSXMB;435.58M;12.12;-;-;0.08;1.35;-;-;-;-;-;-;-;44.35;0.00%;0
4139;LSXMK;9.15B;11.48;16.67;-;1.64;1.28;-;-;-31.40%;11.00%;-;-4.80%;-;42.42;0.98%;801,467
